family,convention,radians,inches,true_bearing,lat,lon
原转录（65 种组合）,顺时针+偏角（主约定）,1.0,18.0,74.176,38.318716,-119.869433
原转录（65 种组合）,顺时针+偏角（主约定）,2.0,18.0,131.472,36.767173,-120.354667
原转录（65 种组合）,顺时针+偏角（主约定）,3.0,11.0,188.767,36.874533,-122.108288
原转录（65 种组合）,顺时针+偏角（主约定）,3.0,18.0,188.767,36.233448,-122.229176
原转录（65 种组合）,顺时针+偏角（主约定）,3.0,20.0,188.767,36.050259,-122.263351
原转录（65 种组合）,顺时针+偏角（主约定）,4.0,1.0,246.063,37.844067,-122.021364
原转录（65 种组合）,顺时针+偏角（主约定）,4.0,3.0,246.063,37.768515,-122.235455
原转录（65 种组合）,顺时针+偏角（主约定）,4.0,5.0,246.063,37.692576,-122.449107
原转录（65 种组合）,顺时针+偏角（主约定）,4.0,9.0,246.063,37.539546,-122.875097
原转录（65 种组合）,顺时针+偏角（主约定）,4.0,12.0,246.063,37.423773,-123.193439
原转录（65 种组合）,顺时针+偏角（主约定）,4.0,20.0,246.063,37.1109,-124.037527
原转录（65 种组合）,顺时针+偏角（主约定）,5.0,1.0,303.359,37.932592,-122.012245
原转录（65 种组合）,顺时针+偏角（主约定）,5.0,3.0,303.359,38.034135,-122.208833
原转录（65 种组合）,顺时针+偏角（主约定）,5.0,5.0,303.359,38.135349,-122.405966
原转录（65 种组合）,顺时针+偏角（主约定）,5.0,9.0,303.359,38.336785,-122.801873
原转录（65 种组合）,顺时针+偏角（主约定）,5.0,11.0,303.359,38.437003,-123.000651
原转录（65 种组合）,顺时针+偏角（主约定）,5.0,12.0,303.359,38.486985,-123.100246
原转录（65 种组合）,顺时针+偏角（主约定）,5.0,17.0,303.359,38.735625,-123.600301
原转录（65 种组合）,顺时针+偏角（主约定）,5.0,18.0,303.359,38.785097,-123.700728
原转录（65 种组合）,顺时针+偏角（主约定）,5.0,20.0,303.359,38.883782,-123.902002
原转录（65 种组合）,顺时针+偏角（主约定）,6.0,18.0,0.655,39.548894,-121.889452
原转录（65 种组合）,顺时针+偏角（主约定）,7.0,11.0,57.95,38.417264,-120.811898
原转录（65 种组合）,顺时针+偏角（主约定）,7.0,18.0,57.95,38.752645,-120.101988
原转录（65 种组合）,顺时针+偏角（主约定）,7.0,20.0,57.95,38.847677,-119.897935
原转录（65 种组合）,顺时针+偏角（主约定）,8.0,3.0,115.246,37.76275,-121.596223
原转录（65 种组合）,顺时针+偏角（主约定）,8.0,7.0,115.246,37.602829,-121.173907
原转录（65 种组合）,顺时针+偏角（主约定）,8.0,18.0,115.246,37.155366,-120.021919
原转录（65 种组合）,顺时针+偏角（主约定）,8.0,20.0,115.246,37.072817,-119.813943
原转录（65 种组合）,顺时针+偏角（主约定）,9.0,1.0,172.542,37.789852,-121.898941
原转录（65 种组合）,顺时针+偏角（主约定）,9.0,3.0,172.542,37.606155,-121.868626
原转录（65 种组合）,顺时针+偏角（主约定）,9.0,5.0,172.542,37.42245,-121.838461
原转录（65 种组合）,顺时针+偏角（主约定）,9.0,9.0,172.542,37.055018,-121.778571
原转录（65 种组合）,顺时针+偏角（主约定）,9.0,11.0,172.542,36.871291,-121.748843
原转录（65 种组合）,顺时针+偏角（主约定）,9.0,12.0,172.542,36.779424,-121.734033
原转录（65 种组合）,顺时针+偏角（主约定）,9.0,17.0,172.542,36.320065,-121.66051
原转录（65 种组合）,顺时针+偏角（主约定）,9.0,18.0,172.542,36.228188,-121.64591
原转录（65 种组合）,顺时针+偏角（主约定）,9.0,20.0,172.542,36.044428,-121.616811
原转录（65 种组合）,顺时针+偏角（主约定）,10.0,18.0,229.838,36.795585,-123.505329
原转录（65 种组合）,顺时针+偏角（主约定）,11.0,3.0,287.134,37.963083,-122.250977
原转录（65 种组合）,顺时针+偏角（主约定）,11.0,7.0,287.134,38.070099,-122.701227
原转录（65 种组合）,顺时针+偏角（主约定）,13.0,1.0,41.725,37.950805,-121.835973
原转录（65 种组合）,顺时针+偏角（主约定）,13.0,2.0,41.725,38.01986,-121.757644
原转录（65 种组合）,顺时针+偏角（主约定）,13.0,6.0,41.725,38.295557,-121.442846
原转录（65 种组合）,顺时针+偏角（主约定）,13.0,10.0,41.725,38.570407,-121.12565
原转录（65 种组合）,顺时针+偏角（主约定）,15.0,20.0,156.317,36.181528,-120.992342
原转录（65 种组合）,顺时针+偏角（主约定）,16.0,20.0,213.612,36.331967,-123.187042
原转录（65 种组合）,顺时针+偏角（主约定）,17.0,5.0,270.908,37.887583,-122.500921
原转录（65 种组合）,顺时针+偏角（主约定）,17.0,9.0,270.908,37.890194,-122.970387
原转录（65 种组合）,顺时针+偏角（主约定）,18.0,3.0,328.204,38.117734,-122.100259
原转录（65 种组合）,顺时针+偏角（主约定）,18.0,7.0,328.204,38.431988,-122.350276
原转录（65 种组合）,顺时针+偏角（主约定）,20.0,1.0,82.796,37.893257,-121.797705
原转录（65 种组合）,顺时针+偏角（主约定）,20.0,2.0,82.796,37.904701,-121.681219
原转录（65 种组合）,顺时针+偏角（主约定）,20.0,3.0,82.796,37.916031,-121.564697
原转录（65 种组合）,顺时针+偏角（主约定）,20.0,4.0,82.796,37.927245,-121.44814
