target,system,trials,mean_distinct,sd_distinct,p_le_observed,p_ge_observed,p_same_profile
z13,simple,20000,9.294,1.179,0.2537,0.94915,0.0866
z13,z408-cycle,20000,12.644,0.571,0.0,1.0,0.0
z13,z408-random,20000,11.676,0.966,0.001,1.0,0.00065
z13,z340-cycle,20000,12.558,0.596,0.0,1.0,0.0
z13,z340-random,20000,11.691,0.961,0.0012,0.99985,0.0008
z32,simple,20000,15.117,1.389,1.0,0.0,0.0
z32,z408-cycle,20000,28.555,1.666,0.7099,0.4804,0.1553
z32,z408-random,20000,24.064,1.891,0.99815,0.00865,0.00615
z32,z340-cycle,20000,28.806,1.492,0.6379,0.5706,0.1514
z32,z340-random,20000,24.473,1.865,0.9971,0.0125,0.0087
