scheme,dr,dc,score,ngram_mean,entropy,plaintext_head
"(1,2)",1,2,171.45,158.01,4.271,BOALTDIVIDROMEWEEKSCRILLAGCHARMTHE
"(8,15)",8,15,170.988,156.2,4.29,HTAGSSEARSLIKEJOKINKVANDLEDGEIWEIR
none,,,169.904,154.82,4.295,GJHUNPERMYFIRMEDCONTELSIZELBSESAVO
"(1,16)",1,16,169.82,155.32,4.287,GEGOLDHEDITREASTHWWHATTOXINGITSTOM
"(4,2)",4,2,169.413,153.79,4.303,UFSNORKERCOOBEALESAMAKESMANYEARITS
"(1,11)",1,11,169.089,153.99,4.296,WDOILLAVOOHWONDEMNOMIFTHEIRGOMBLLP
"(2,15)",2,15,168.773,149.74,4.353,QQZYEXPAYAREAMSABOMINOBINHUYHEGION
"(5,16)",5,16,168.424,151.53,4.322,MPDSISANUJFAXBLTAGSPLYONTRAIAISGOT
"(1,9)",1,9,168.286,152.54,4.306,ICFALMOTHWATKMCISAMAPARTOOKNOTOAPT
"(8,13)",8,13,168.272,153.92,4.287,YJFXWETSEAROMSELFACTISATWHUMPHITIG
"(8,16)",8,16,168.12,147.52,4.377,RYGILSDEFYTHATSORMTHERTYOFCONGERLO
"(8,6)",8,6,167.997,153.26,4.293,PENSEXTNCTBIGMYFAIDINETHINTERPERYS
"(7,3)",7,3,167.832,151.98,4.309,VCORNMESPEAHTHITMUCHWANNAWHIRSLEDS
"(4,9)",4,9,167.765,151.63,4.313,JFPNOWOPENAVESPIANDKINGALORESPORTE
"(1,4)",1,4,167.757,154.56,4.271,VRHEKARSNATRADEHEFITARECHASASSIFFO
"(2,11)",2,11,167.75,154.85,4.267,VHEATERHILLDISISAEWSCUTTHBYPHOOFFL
"(4,16)",4,16,167.715,148.92,4.351,KJNBATVTMMMCATLADDMULASLUMPWIATION
"(1,12)",1,12,167.622,154.57,4.27,TOVOONWITHONRESONNDJUSTSURVELANINJ
"(5,8)",5,8,167.604,153.75,4.281,FDVEFRISKRUEAWORUNFTOTEXICOTHESTAL
"(8,14)",8,14,167.492,154.68,4.266,PWRVIDEPROBULARBARUATINYTHISLLOOKI
"(8,4)",8,4,167.378,150.97,4.317,HDAYPAWERIALLMOUTLEELOFASHAFTHENEA
"(2,2)",2,2,167.372,149.12,4.344,CQHXISTIFMPRIGBTIDELEDAWEDUCTOPPLA
